loan_amount,annual_income,home_ownership,purpose,credit_score,monthly_debt,employment_length_years,loan_term_months,number_of_open_accounts,delinquencies_2y,inquiries_6m,default
13000,75000.0,MORTGAGE,other,697,643.125,10.0,36.0,11,0,2,0
8400,40000.0,RENT,debt_consolidation,693,595.0000000000001,3.0,36.0,12,0,1,0
40000,130000.0,MORTGAGE,debt_consolidation,754,1113.6666666666665,1.0,36.0,7,0,0,0
15850,40000.0,RENT,debt_consolidation,696,916.6666666666667,10.0,36.0,8,0,1,1
10000,50000.0,MORTGAGE,debt_consolidation,689,477.91666666666674,0.0,36.0,5,0,1,0
7650,35000.0,MORTGAGE,debt_consolidation,715,510.99999999999994,2.0,36.0,10,0,0,0
11000,73000.0,RENT,other,754,1071.275,2.0,36.0,13,0,0,0
12250,62000.0,MORTGAGE,other,733,881.95,8.0,36.0,11,0,0,0
21000,97314.0,MORTGAGE,debt_consolidation,771,1904.1106,0.5,36.0,20,0,0,0
8400,100000.0,MORTGAGE,debt_consolidation,767,2130.8333333333335,1.0,36.0,15,0,0,0
3600,70000.0,RENT,debt_consolidation,638,708.75,10.0,36.0,6,0,4,0
16000,51000.0,OWN,debt_consolidation,733,572.05,10.0,36.0,6,0,0,0
6000,115000.0,MORTGAGE,other,693,1988.5416666666667,10.0,36.0,14,2,0,0
28975,69000.0,RENT,debt_consolidation,630,1955.0000000000002,3.0,60.0,12,3,1,0
25125,70000.0,MORTGAGE,other,732,806.1666666666665,10.0,60.0,6,0,0,0
10000,63000.0,MORTGAGE,medical,735,687.2249999999999,0.0,36.0,10,1,0,0
29000,73092.0,MORTGAGE,debt_consolidation,726,1980.7932000000003,10.0,36.0,8,0,0,0
28600,65000.0,MORTGAGE,debt_consolidation,678,1363.3750000000002,8.0,60.0,12,1,0,1
2500,51585.96,RENT,debt_consolidation,696,1367.457823,10.0,36.0,12,0,1,0
10000,51996.0,RENT,moving,592,704.9790999999999,1.0,36.0,8,3,1,0
10000,60000.0,MORTGAGE,debt_consolidation,752,517.0,10.0,36.0,12,0,2,0
12000,47000.0,MORTGAGE,debt_consolidation,687,676.0166666666667,10.0,36.0,8,1,0,0
6000,34560.0,RENT,debt_consolidation,694,783.0720000000001,3.0,36.0,3,0,0,0
5000,150000.0,MORTGAGE,other,788,1052.5,2.0,36.0,16,0,0,0
5000,64000.0,MORTGAGE,home_improvement,707,1160.0,10.0,36.0,9,1,0,0
12000,110000.0,MORTGAGE,other,757,1715.0833333333333,3.0,60.0,17,0,0,0
34300,90000.0,MORTGAGE,home_improvement,769,1005.75,6.0,36.0,11,0,1,0
12550,35000.0,OWN,home_improvement,692,666.1666666666666,10.0,36.0,23,0,1,0
12000,90000.0,OWN,other,712,914.25,8.0,60.0,14,0,1,0
10000,118326.0,MORTGAGE,other,765,2544.009,10.0,36.0,17,0,0,0
4800,70000.0,MORTGAGE,other,739,942.0833333333331,10.0,36.0,12,1,1,0
20000,66000.0,RENT,debt_consolidation,690,1240.25,10.0,36.0,10,1,1,0
10000,84000.0,RENT,debt_consolidation,725,909.3000000000001,10.0,36.0,19,0,0,0
5100,96000.0,MORTGAGE,home_improvement,732,900.8,9.0,36.0,9,0,0,0
35000,200000.0,MORTGAGE,debt_consolidation,800,2305.0000000000005,3.0,36.0,15,0,0,0
6000,50000.0,RENT,debt_consolidation,594,1298.3333333333335,7.0,36.0,12,4,2,0
35000,174000.0,MORTGAGE,other,745,3453.9,3.0,60.0,15,0,2,1
3500,58000.0,RENT,other,721,347.0333333333333,4.0,36.0,10,0,1,0
14000,80000.0,MORTGAGE,debt_consolidation,733,1720.0000000000002,10.0,36.0,15,0,1,0
10600,60000.0,MORTGAGE,debt_consolidation,708,788.0,8.0,36.0,12,0,1,0
7000,115000.0,MORTGAGE,home_improvement,747,1637.7916666666667,2.0,36.0,15,0,0,0
6000,33000.0,RENT,debt_consolidation,715,796.95,8.0,36.0,7,0,0,0
15000,55000.0,MORTGAGE,debt_consolidation,699,258.04166666666663,0.0,36.0,7,0,0,0
15000,75000.0,RENT,debt_consolidation,705,1190.0,3.0,36.0,8,0,0,0
10000,30000.0,RENT,debt_consolidation,707,955.0,10.0,36.0,19,0,0,0
5500,40000.0,MORTGAGE,other,715,805.0,10.0,36.0,14,0,0,0
6000,65000.0,MORTGAGE,other,682,594.2083333333334,3.0,36.0,9,0,2,0
10200,66000.0,MORTGAGE,home_improvement,727,1613.15,4.0,60.0,16,0,0,0
23800,183000.0,RENT,debt_consolidation,804,1872.6999999999998,6.0,36.0,11,0,0,0
6150,40000.0,OWN,debt_consolidation,670,731.0,4.0,36.0,8,0,1,0
20000,112000.0,MORTGAGE,debt_consolidation,771,2100.933333333334,1.0,36.0,17,0,1,0
8000,58000.0,MORTGAGE,debt_consolidation,733,829.8833333333333,1.0,36.0,19,0,1,0
6450,35000.0,OWN,debt_consolidation,704,934.2083333333334,3.0,36.0,7,0,0,0
4400,22000.0,OWN,debt_consolidation,690,467.1333333333334,1.0,36.0,9,0,0,0
2000,38500.0,RENT,other,679,477.0791666666667,2.0,36.0,7,0,2,1
17500,45000.0,OWN,other,675,1393.8750000000002,3.0,60.0,9,0,0,0
19275,70000.0,RENT,other,701,740.2499999999999,1.0,36.0,10,0,1,1
3500,70000.0,MORTGAGE,other,728,757.75,3.0,36.0,12,0,2,0
15000,59000.0,MORTGAGE,debt_consolidation,704,1242.9333333333336,10.0,60.0,19,0,1,0
18000,52000.0,MORTGAGE,debt_consolidation,586,770.0333333333333,10.0,60.0,9,4,1,0
36000,40000.0,RENT,other,719,625.0,7.0,60.0,13,0,0,0
19200,55000.0,RENT,debt_consolidation,710,1086.2499999999998,10.0,60.0,11,0,1,0
12500,30000.0,MORTGAGE,debt_consolidation,735,627.75,2.0,36.0,11,0,0,0
2000,30000.0,OWN,debt_consolidation,699,284.0,0.0,36.0,7,0,0,0
35000,85000.0,RENT,debt_consolidation,689,561.7083333333333,10.0,60.0,7,0,2,1
15000,62000.0,MORTGAGE,home_improvement,698,559.5500000000001,4.0,60.0,14,0,0,0
14000,49920.0,MORTGAGE,debt_consolidation,647,563.264,6.0,36.0,7,1,1,1
35000,116000.0,MORTGAGE,debt_consolidation,695,2498.833333333333,5.0,60.0,14,1,0,0
35000,400000.0,RENT,moving,783,2783.333333333333,10.0,36.0,15,0,4,0
8400,150000.0,RENT,major_purchase,752,521.25,1.0,36.0,5,0,0,0
3500,80000.0,RENT,medical,710,328.6666666666667,2.0,36.0,4,0,0,0
10000,40000.0,MORTGAGE,other,698,893.0,1.0,36.0,11,0,1,1
40000,85000.0,OWN,other,712,1607.2083333333335,10.0,36.0,16,0,1,1
2000,118200.0,MORTGAGE,home_improvement,759,2497.96,3.0,36.0,30,0,0,0
1500,32000.0,RENT,other,731,391.99999999999994,2.0,36.0,13,0,0,0
4300,36000.0,RENT,debt_consolidation,702,638.1,4.0,36.0,9,0,1,0
15625,50000.0,MORTGAGE,debt_consolidation,717,749.1666666666667,10.0,36.0,9,0,0,0
20000,150000.0,MORTGAGE,debt_consolidation,796,1057.5,0.5,36.0,12,0,0,0
5000,57000.0,RENT,debt_consolidation,661,703.0000000000001,4.0,36.0,15,1,1,0
5000,35000.0,RENT,other,706,223.12499999999997,9.0,36.0,9,0,0,0
9350,35000.0,RENT,other,703,471.91666666666663,10.0,36.0,4,0,0,0
27200,130000.0,MORTGAGE,debt_consolidation,775,1126.6666666666667,2.0,60.0,16,0,0,0
5000,36000.0,RENT,debt_consolidation,646,1020.9,1.0,36.0,10,2,2,0
21000,165000.0,MORTGAGE,home_improvement,713,1791.625,3.0,60.0,9,1,0,1
5500,30000.0,OWN,debt_consolidation,727,689.0,0.0,36.0,14,0,0,0
14375,40000.0,MORTGAGE,debt_consolidation,652,1096.0000000000002,0.0,60.0,13,2,0,0
10000,90000.0,RENT,debt_consolidation,734,948.75,0.5,36.0,11,1,0,0
8000,41600.0,RENT,debt_consolidation,695,401.78666666666663,0.5,36.0,6,0,1,1
9350,24000.0,RENT,debt_consolidation,611,196.0,2.0,36.0,2,0,0,0
15000,80000.0,MORTGAGE,car,733,462.0,2.0,36.0,21,0,1,0
11200,50000.0,RENT,other,674,1287.0833333333335,10.0,60.0,11,1,3,1
21000,100000.0,MORTGAGE,debt_consolidation,683,1616.6666666666665,10.0,36.0,18,1,1,0
28000,74500.0,MORTGAGE,other,699,1224.9041666666667,10.0,36.0,5,0,0,0
14700,54000.0,RENT,medical,756,954.9,7.0,60.0,10,0,0,0
35000,93000.0,MORTGAGE,debt_consolidation,706,1284.9499999999998,0.5,36.0,14,2,1,0
10000,33000.0,RENT,other,696,413.05,3.0,36.0,8,0,2,0
7200,55000.0,RENT,debt_consolidation,689,796.125,5.0,36.0,10,1,1,0
11200,25000.0,RENT,debt_consolidation,683,633.125,0.0,36.0,9,1,0,0
10000,66000.0,MORTGAGE,other,725,1414.05,10.0,36.0,14,0,0,0
10000,794500.0,MORTGAGE,debt_consolidation,800,2383.5,5.0,36.0,17,0,0,0
12000,40000.0,MORTGAGE,debt_consolidation,697,1025.0,10.0,60.0,9,0,2,0
15000,42000.0,MORTGAGE,debt_consolidation,676,1038.1,0.5,60.0,13,0,3,1
3000,32000.0,OWN,vacation,664,795.2,10.0,36.0,8,1,0,0
16900,65280.0,MORTGAGE,debt_consolidation,675,1153.824,6.0,60.0,13,2,0,1
3500,72000.0,RENT,medical,684,1942.1999999999998,10.0,36.0,15,2,0,0
3900,27343.08,RENT,debt_consolidation,646,351.13071900000006,0.0,36.0,8,1,0,0
35000,190000.0,MORTGAGE,debt_consolidation,781,2767.666666666667,0.5,36.0,10,0,0,0
7000,45000.0,RENT,debt_consolidation,680,202.875,10.0,36.0,6,0,1,0
24000,137230.0,MORTGAGE,debt_consolidation,788,3468.48825,10.0,36.0,19,0,0,0
3000,38000.0,MORTGAGE,debt_consolidation,654,432.88333333333327,3.0,36.0,7,0,3,0
30000,165000.0,MORTGAGE,debt_consolidation,797,3909.125,6.0,36.0,9,0,0,0
12000,77000.0,OWN,debt_consolidation,709,1002.9250000000001,0.5,36.0,5,0,0,0
8325,25000.0,RENT,car,680,522.9166666666667,6.0,36.0,7,0,1,0
13000,35656.0,MORTGAGE,debt_consolidation,741,178.87426666666667,3.0,60.0,8,0,1,1
15000,83000.0,MORTGAGE,other,667,1283.0416666666667,0.0,36.0,16,2,0,0
20725,100000.0,MORTGAGE,debt_consolidation,665,1108.3333333333335,1.0,60.0,17,2,1,1
9600,80000.0,RENT,debt_consolidation,707,856.0,10.0,36.0,4,0,0,1
14000,56000.0,MORTGAGE,debt_consolidation,710,1070.0666666666668,10.0,36.0,8,0,0,0
30000,82000.0,MORTGAGE,other,775,1780.0833333333333,10.0,36.0,19,0,0,0
1000,65000.0,RENT,medical,697,1552.416666666667,10.0,36.0,9,0,2,0
5000,33176.0,MORTGAGE,other,694,453.1288666666667,0.0,36.0,7,0,0,0
10800,50000.0,MORTGAGE,debt_consolidation,721,1448.3333333333333,10.0,60.0,10,0,0,0
10000,75000.0,OWN,medical,682,1486.25,3.0,60.0,13,1,1,0
21000,78000.0,MORTGAGE,debt_consolidation,719,1210.3,10.0,60.0,12,0,0,0
21600,150000.0,RENT,debt_consolidation,753,2946.25,10.0,36.0,16,0,1,0
8125,31000.0,MORTGAGE,other,769,737.0250000000001,5.0,36.0,16,0,0,0
25000,69000.0,RENT,debt_consolidation,731,1741.1000000000001,0.0,36.0,9,0,1,0
6000,45000.0,MORTGAGE,debt_consolidation,678,1243.875,6.0,36.0,7,0,1,1
3000,106000.0,MORTGAGE,other,717,2241.0166666666673,10.0,36.0,13,0,1,0
20000,125000.0,MORTGAGE,debt_consolidation,753,1288.5416666666665,3.0,36.0,10,0,1,0
10000,31600.0,RENT,other,725,647.01,3.0,36.0,7,0,0,0
30000,71600.0,OWN,debt_consolidation,702,807.2900000000001,10.0,60.0,8,0,0,0
14000,87000.0,MORTGAGE,debt_consolidation,734,949.75,3.0,36.0,10,0,0,0
7000,37000.0,RENT,debt_consolidation,690,439.06666666666666,10.0,36.0,5,1,0,0
8000,75000.0,MORTGAGE,debt_consolidation,697,1000.0,10.0,36.0,8,2,0,0
16000,85000.0,MORTGAGE,debt_consolidation,783,861.3333333333333,3.0,60.0,12,0,1,0
15000,60000.0,RENT,other,700,568.0,0.5,36.0,7,0,0,0
10000,40000.0,MORTGAGE,other,734,913.0000000000001,0.5,36.0,9,0,0,0
14500,33000.0,MORTGAGE,other,692,593.175,0.0,60.0,5,0,0,1
15000,35000.0,RENT,other,737,444.20833333333326,7.0,36.0,11,0,1,0
28000,165000.0,RENT,debt_consolidation,740,1021.6249999999999,1.0,60.0,6,0,2,0
5000,63000.0,OWN,home_improvement,753,792.75,2.0,36.0,15,0,0,0
5200,21000.0,MORTGAGE,debt_consolidation,728,385.0,0.5,36.0,9,0,0,0
16000,37350.0,MORTGAGE,other,661,832.2824999999999,0.0,36.0,9,0,1,0
15500,62000.0,OWN,other,718,1274.1000000000001,10.0,36.0,13,0,0,0
6000,35000.0,RENT,debt_consolidation,715,565.25,10.0,36.0,9,0,0,1
18000,66552.0,MORTGAGE,debt_consolidation,725,1149.1312,9.0,36.0,14,0,2,0
4000,30000.0,RENT,debt_consolidation,710,366.0,0.5,36.0,9,0,1,0
10000,37500.0,OWN,other,714,545.0,4.0,36.0,4,0,0,0
10400,10000.0,RENT,debt_consolidation,665,77.0,0.0,60.0,3,0,0,0
9000,54996.0,OWN,debt_consolidation,681,1084.7961,2.0,36.0,3,0,1,0
16000,52000.0,RENT,other,740,942.9333333333333,0.5,60.0,8,0,0,0
16000,60000.0,RENT,debt_consolidation,705,406.0,2.0,36.0,9,0,0,0
12050,68000.0,RENT,other,658,868.1333333333334,10.0,60.0,21,1,1,0
16925,38220.0,RENT,debt_consolidation,614,1002.001,0.0,60.0,9,2,1,0
5000,55000.0,RENT,other,675,995.0416666666666,5.0,36.0,15,0,1,0
15000,75000.0,MORTGAGE,other,743,2058.75,0.0,36.0,16,0,0,0
10000,60000.0,RENT,other,697,984.5000000000001,0.5,36.0,11,0,0,0
12000,45000.0,RENT,other,744,691.875,10.0,36.0,10,0,1,0
6400,75000.0,OWN,debt_consolidation,723,1796.25,6.0,36.0,15,0,0,0
11100,36000.0,OWN,medical,686,717.9,0.5,36.0,13,0,1,0
6000,99000.0,RENT,debt_consolidation,704,1461.8999999999999,3.0,36.0,10,1,2,0
22000,48000.0,MORTGAGE,debt_consolidation,723,595.2,0.0,60.0,19,0,0,0
9000,40000.0,RENT,debt_consolidation,687,398.0,7.0,36.0,13,0,0,1
30000,45000.0,MORTGAGE,debt_consolidation,731,757.1250000000001,0.5,36.0,7,0,0,0
12000,62000.0,RENT,car,683,567.3000000000001,7.0,60.0,5,0,0,0
7000,48157.0,OWN,car,721,605.1729666666666,10.0,36.0,5,0,0,0
20000,75000.0,MORTGAGE,debt_consolidation,719,1240.625,2.0,36.0,11,0,0,0
22000,75000.0,RENT,debt_consolidation,750,2328.125,10.0,60.0,16,0,0,0
26000,165200.0,MORTGAGE,debt_consolidation,779,3272.3366666666666,10.0,60.0,18,0,1,1
26000,60000.0,OWN,debt_consolidation,706,1390.5,10.0,60.0,11,1,0,1
6000,75000.0,MORTGAGE,debt_consolidation,755,601.25,6.0,36.0,23,0,0,0
20000,45000.0,RENT,debt_consolidation,743,553.125,0.5,60.0,5,0,0,0
34200,76000.0,MORTGAGE,other,755,1445.8999999999999,9.0,36.0,13,0,0,0
24000,165000.0,RENT,major_purchase,745,1662.375,6.0,60.0,9,1,0,0
20000,105000.0,RENT,home_improvement,724,422.625,10.0,60.0,9,0,1,0
7775,19460.0,RENT,debt_consolidation,679,251.034,0.0,36.0,5,0,0,0
10000,50000.0,MORTGAGE,debt_consolidation,716,510.00000000000006,10.0,36.0,12,0,0,1
25000,55000.0,MORTGAGE,debt_consolidation,734,688.8749999999999,6.0,60.0,7,0,0,0
5075,15000.0,RENT,other,665,102.00000000000001,3.0,36.0,6,0,4,0
5000,38300.0,MORTGAGE,other,720,1140.3824999999997,0.0,36.0,14,1,0,0
4600,33000.0,RENT,debt_consolidation,663,518.9250000000001,0.5,36.0,16,1,1,0
34425,68875.0,RENT,debt_consolidation,689,681.8625,10.0,36.0,14,1,1,1
16600,132000.0,OWN,debt_consolidation,711,3140.5000000000005,3.0,36.0,11,1,0,0
17000,65000.0,MORTGAGE,other,727,869.3750000000001,4.0,36.0,10,0,0,0
26000,52000.0,RENT,debt_consolidation,701,523.9,5.0,60.0,8,0,0,0
21000,95400.0,RENT,other,728,1296.645,10.0,36.0,12,0,1,0
8000,50000.0,MORTGAGE,debt_consolidation,686,788.3333333333334,0.0,36.0,16,0,0,0
18000,43000.0,RENT,debt_consolidation,689,672.2333333333335,0.0,60.0,23,0,0,0
16000,65000.0,MORTGAGE,debt_consolidation,719,1146.1666666666667,10.0,36.0,9,1,1,0
24000,165000.0,MORTGAGE,debt_consolidation,788,3194.125,3.0,60.0,14,0,0,0
12725,40000.0,RENT,debt_consolidation,717,672.0,1.0,36.0,7,0,0,0
10000,85000.0,MORTGAGE,other,711,779.1666666666666,10.0,36.0,10,1,0,0
15000,85000.0,MORTGAGE,debt_consolidation,764,2356.6250000000005,2.0,36.0,16,0,0,0
14000,80000.0,MORTGAGE,debt_consolidation,667,2280.0000000000005,0.5,60.0,15,3,0,1
17600,121000.0,RENT,debt_consolidation,732,1407.6333333333334,3.0,36.0,14,0,0,0
15000,55000.0,RENT,debt_consolidation,703,1155.0,6.0,60.0,50,0,3,0
16000,160000.0,MORTGAGE,debt_consolidation,716,2331.9999999999995,10.0,36.0,10,1,0,0
11600,45000.0,RENT,debt_consolidation,708,1171.125,10.0,36.0,8,0,1,0
14000,46800.0,MORTGAGE,other,736,1065.0900000000001,7.0,36.0,12,0,0,0
20000,55000.0,RENT,debt_consolidation,716,1239.7916666666667,2.0,36.0,16,0,3,1
14400,52000.0,RENT,debt_consolidation,669,1251.8999999999999,3.0,60.0,7,0,1,0
16000,82000.0,MORTGAGE,other,746,1518.3666666666666,2.0,36.0,18,0,0,0
14400,55000.0,RENT,debt_consolidation,733,331.8333333333333,9.0,36.0,6,0,0,0
16100,36000.0,MORTGAGE,debt_consolidation,656,408.90000000000003,0.0,60.0,7,1,0,0
12500,55500.0,RENT,other,694,791.8000000000001,10.0,60.0,11,1,0,0
30000,117000.0,MORTGAGE,other,764,965.25,2.0,60.0,21,0,0,0
8400,90000.0,MORTGAGE,debt_consolidation,778,1550.2500000000002,2.0,36.0,16,0,0,0
7700,69000.0,RENT,other,694,12.075,9.0,36.0,6,0,5,1
6000,88000.0,RENT,debt_consolidation,666,522.8666666666667,10.0,36.0,8,1,0,0
12000,42000.0,RENT,other,718,929.6,3.0,36.0,10,0,1,0
30000,79000.0,MORTGAGE,debt_consolidation,609,599.7416666666667,10.0,36.0,16,5,0,1
2000,45000.0,RENT,debt_consolidation,689,654.0,10.0,36.0,9,0,1,0
12000,75000.0,MORTGAGE,debt_consolidation,703,1986.875,10.0,36.0,24,0,1,0
3000,27000.0,RENT,other,700,125.99999999999999,10.0,36.0,14,0,0,0
2000,46000.0,OWN,vacation,680,755.9333333333333,10.0,36.0,13,0,3,0
2100,52000.0,MORTGAGE,home_improvement,708,1145.2999999999997,1.0,36.0,16,0,0,0
15000,75000.0,RENT,other,731,851.875,2.0,36.0,6,0,0,0
25000,85000.0,OWN,debt_consolidation,741,1366.3749999999998,10.0,36.0,13,0,0,0
15000,48000.0,RENT,debt_consolidation,714,853.1999999999999,1.0,36.0,5,0,0,0
14000,62000.0,RENT,debt_consolidation,714,1221.9166666666667,4.0,36.0,11,0,2,0
6000,54000.0,MORTGAGE,debt_consolidation,702,790.1999999999999,9.0,36.0,13,0,2,0
13500,70000.0,RENT,other,748,1255.9166666666667,2.0,36.0,8,1,0,0
12000,42000.0,RENT,debt_consolidation,655,689.1500000000001,8.0,60.0,4,0,3,0
4200,68500.0,RENT,debt_consolidation,711,260.29999999999995,10.0,36.0,3,0,1,0
15000,77000.0,OWN,debt_consolidation,721,816.2,0.0,36.0,7,0,2,1
14000,75000.0,MORTGAGE,other,714,1821.8749999999998,2.0,36.0,10,0,0,0
15000,88000.0,RENT,debt_consolidation,722,424.59999999999997,10.0,36.0,5,0,0,0
17000,69000.0,MORTGAGE,debt_consolidation,747,2006.175,10.0,36.0,11,0,0,0
34500,240000.0,MORTGAGE,other,812,574.0,0.5,36.0,8,0,0,0
8000,75000.0,MORTGAGE,debt_consolidation,709,741.25,8.0,36.0,8,0,1,0
30000,75000.0,MORTGAGE,other,725,1206.875,5.0,60.0,12,0,0,0
40000,120000.0,MORTGAGE,other,763,1046.0000000000002,5.0,36.0,17,0,3,0
17000,46000.0,RENT,debt_consolidation,667,765.9000000000001,10.0,36.0,18,2,0,0
21000,80000.0,RENT,moving,744,776.6666666666667,1.0,36.0,6,0,0,1
13200,86000.0,RENT,debt_consolidation,738,628.5166666666667,4.0,60.0,9,0,0,0
23500,62000.0,MORTGAGE,debt_consolidation,714,1154.2333333333333,10.0,60.0,14,0,1,0
22900,115000.0,MORTGAGE,debt_consolidation,759,2558.7500000000005,2.0,60.0,19,1,2,0
4500,42000.0,RENT,debt_consolidation,682,120.05000000000001,2.0,36.0,5,0,0,1
6000,60000.0,MORTGAGE,other,699,828.5000000000001,10.0,36.0,20,1,0,0
3050,50000.0,RENT,other,617,910.0000000000001,5.0,36.0,11,3,1,0
12175,36000.0,OWN,debt_consolidation,700,785.1000000000001,10.0,36.0,8,0,0,1
1000,16000.0,RENT,other,690,117.99999999999999,1.0,36.0,10,0,0,0
16000,105000.0,RENT,other,755,1478.7499999999998,3.0,36.0,8,0,0,0
30000,125000.0,MORTGAGE,debt_consolidation,727,2909.3749999999995,8.0,36.0,24,0,0,0
19750,45000.0,RENT,debt_consolidation,723,1287.0,10.0,60.0,7,0,0,0
24000,70000.0,RENT,debt_consolidation,744,1029.5833333333333,1.0,60.0,7,0,0,0
35000,100000.0,MORTGAGE,debt_consolidation,753,488.3333333333334,5.0,36.0,9,0,0,0
8400,180000.0,OWN,home_improvement,795,2218.5,5.0,36.0,13,0,1,0
10000,37614.0,RENT,debt_consolidation,722,827.19455,9.0,36.0,11,0,0,0
21000,115340.0,MORTGAGE,other,784,1684.9251666666667,4.0,36.0,18,0,0,0
9200,25000.0,MORTGAGE,debt_consolidation,663,388.125,10.0,36.0,4,0,0,1
17925,39915.2,OWN,debt_consolidation,704,871.14924,8.0,36.0,7,0,0,0
8000,25000.0,MORTGAGE,debt_consolidation,559,386.04166666666674,0.0,36.0,7,4,0,0
4200,37174.0,RENT,other,607,745.3387,1.0,36.0,14,4,0,0
13000,27000.0,MORTGAGE,debt_consolidation,588,900.9,8.0,36.0,8,4,0,0
9000,48000.0,RENT,debt_consolidation,712,944.0000000000001,3.0,36.0,17,0,2,0
12000,60000.0,MORTGAGE,home_improvement,718,1502.0,5.0,60.0,10,0,1,0
8200,46000.0,RENT,other,711,474.95000000000005,9.0,36.0,6,0,1,0
3025,40000.0,MORTGAGE,other,670,76.0,6.0,36.0,2,0,0,0
24000,67000.0,RENT,other,751,883.2833333333333,10.0,60.0,10,0,0,0
24000,88000.0,RENT,debt_consolidation,672,2124.4666666666667,10.0,36.0,11,2,0,0
15000,65000.0,RENT,debt_consolidation,716,326.0833333333333,10.0,36.0,12,0,2,0
12000,145000.0,MORTGAGE,other,768,1759.3333333333335,2.0,36.0,12,0,0,0
23475,56000.0,RENT,debt_consolidation,672,680.8666666666667,10.0,60.0,5,0,0,0
7000,75000.0,MORTGAGE,home_improvement,720,1290.0,10.0,36.0,4,0,0,0
15000,50960.0,RENT,debt_consolidation,688,602.1773333333334,10.0,60.0,11,1,0,0
10000,26000.0,OWN,debt_consolidation,643,452.1833333333333,10.0,60.0,2,0,0,0
12000,40000.0,MORTGAGE,debt_consolidation,717,430.3333333333333,3.0,60.0,5,0,0,0
35000,115000.0,MORTGAGE,other,724,874.9583333333335,3.0,60.0,5,0,1,0
